小田急電鉄(株),,,,,,,,,eraseme
,,,,,,,,,eraseme
,,,,,,,,,eraseme
日付,始値,高値,安値,終値,出来高,調整後終値*,,,eraseme
2019/6/18,2689,2696,2672,2678,465100,2678,,,2683.75
2019/6/17,2687,2724,2680,2688,502500,2688,,,2694.75
2019/6/14,2698,2699,2668,2689,658200,2689,,,2688.5
2019/6/13,2703,2704,2676,2693,494100,2693,,,2694
2019/6/12,2707,2726,2705,2708,437000,2708,,,2711.5
2019/6/11,2739,2739,2706,2713,364800,2713,,,2724.25
2019/6/10,2727,2747,2720,2739,649200,2739,,,2733.25
2019/6/7,2711,2718,2682,2709,475400,2709,,,2705
2019/6/6,2696,2719,2687,2709,463300,2709,,,2702.75
2019/6/5,2674,2691,2653,2691,674200,2691,,,2677.25
2019/6/4,2705,2713,2631,2642,751700,2642,,,2672.75
2019/6/3,2644,2710,2635,2710,781100,2710,,,2674.75
2019/5/31,2643,2695,2642,2680,760900,2680,,,2665
2019/5/30,2640,2658,2631,2653,496200,2653,,,2645.5
2019/5/29,2656,2692,2653,2675,785200,2675,,,2669
2019/5/28,2724,2724,2663,2683,1765000,2683,,,2698.5
2019/5/27,2715,2727,2707,2723,359600,2723,,,2718
2019/5/24,2709,2724,2698,2720,531400,2720,,,2712.75
2019/5/23,2650,2724,2650,2709,661000,2709,,,2683.25
2019/5/22,2714,2716,2641,2660,863900,2660,,,2682.75
,,,,,,,,,eraseme
日付,始値,高値,安値,終値,出来高,調整後終値*,,,eraseme
2019/5/21,2700,2730,2697,2702,700700,2702,,,2707.25
2019/5/20,2699,2723,2678,2710,1005300,2710,,,2702.5
2019/5/17,2750,2750,2709,2725,756300,2725,,,2733.5
2019/5/16,2708,2739,2684,2729,835100,2729,,,2715
2019/5/15,2650,2692,2632,2692,724400,2692,,,2666.5
2019/5/14,2603,2636,2601,2632,579900,2632,,,2618
2019/5/13,2589,2634,2579,2626,495500,2626,,,2607
2019/5/10,2580,2609,2573,2596,734700,2596,,,2589.5
2019/5/9,2616,2623,2569,2574,874900,2574,,,2595.5
2019/5/8,2615,2645,2609,2638,932000,2638,,,2626.75
2019/5/7,2609,2650,2601,2639,1057400,2639,,,2624.75
2019/4/26,2632,2636,2601,2614,764800,2614,,,2620.75
2019/4/25,2576,2612,2564,2608,701600,2608,,,2590
2019/4/24,2576,2585,2536,2553,497500,2553,,,2562.5
2019/4/23,2548,2582,2548,2574,563100,2574,,,2563
2019/4/22,2478,2531,2477,2531,395500,2531,,,2504.25
2019/4/19,2487,2496,2455,2476,504500,2476,,,2478.5
2019/4/18,2529,2533,2490,2500,561100,2500,,,2513
2019/4/17,2559,2560,2514,2520,453200,2520,,,2538.25
2019/4/16,2555,2570,2548,2550,428100,2550,,,2555.75
,,,,,,,,,eraseme
日付,始値,高値,安値,終値,出来高,調整後終値*,,,eraseme
2019/4/15,2580,2595,2557,2569,597700,2569,,,2575.25
2019/4/12,2550,2553,2517,2535,556700,2535,,,2538.75
2019/4/11,2525,2545,2509,2537,420700,2537,,,2529
2019/4/10,2512,2527,2501,2517,414900,2517,,,2514.25
2019/4/9,2545,2545,2521,2534,411700,2534,,,2536.25
2019/4/8,2565,2582,2547,2565,502800,2565,,,2564.75
2019/4/5,2589,2598,2567,2577,537700,2577,,,2582.75
2019/4/4,2623,2631,2562,2586,827500,2586,,,2600.5
2019/4/3,2668,2668,2621,2635,727200,2635,,,2648
2019/4/2,2737,2740,2669,2669,691800,2669,,,2703.75
2019/4/1,2700,2732,2685,2714,896300,2714,,,2707.75
2019/3/29,2670,2688,2668,2683,693600,2683,,,2677.25
2019/3/28,2690,2693,2642,2648,786800,2648,,,2668.25
2019/3/27,2692,2701,2670,2694,968000,2694,,,2689.25
2019/3/26,2636,2722,2635,2717,1882500,2717,,,2677.5
2019/3/25,2636,2640,2592,2604,860800,2604,,,2618
2019/3/22,2659,2661,2631,2661,621400,2661,,,2653
2019/3/20,2632,2645,2628,2645,524200,2645,,,2637.5
2019/3/19,2653,2653,2617,2627,566100,2627,,,2637.5
2019/3/18,2669,2685,2653,2670,538700,2670,,,2669.25
,,,,,,,,,eraseme
日付,始値,高値,安値,終値,出来高,調整後終値*,,,eraseme
2019/3/15,2658,2665,2641,2662,1013600,2662,,,2656.5
2019/3/14,2651,2651,2627,2642,588700,2642,,,2642.75
2019/3/13,2650,2662,2606,2626,660400,2626,,,2636
2019/3/12,2661,2669,2650,2662,785400,2662,,,2660.5
2019/3/11,2604,2633,2601,2631,542800,2631,,,2617.25
2019/3/8,2613,2639,2598,2613,1468800,2613,,,2615.75
2019/3/7,2574,2608,2573,2608,584800,2608,,,2590.75
2019/3/6,2605,2606,2576,2593,668800,2593,,,2595
2019/3/5,2600,2622,2590,2615,579300,2615,,,2606.75
2019/3/4,2650,2653,2599,2603,464300,2603,,,2626.25
2019/3/1,2606,2625,2596,2620,489600,2620,,,2611.75
2019/2/28,2619,2624,2596,2601,777800,2601,,,2610
2019/2/27,2600,2622,2596,2605,860100,2605,,,2605.75
2019/2/26,2564,2593,2562,2585,582900,2585,,,2576
2019/2/25,2549,2574,2544,2571,487700,2571,,,2559.5
2019/2/22,2550,2571,2539,2542,525600,2542,,,2550.5
2019/2/21,2540,2564,2511,2555,937400,2555,,,2542.5
2019/2/20,2512,2540,2509,2540,793500,2540,,,2525.25
2019/2/19,2472,2500,2472,2500,645000,2500,,,2486
2019/2/18,2469,2471,2451,2457,463700,2457,,,2462
,,,,,,,,,eraseme
日付,始値,高値,安値,終値,出来高,調整後終値*,,,eraseme
2019/2/15,2406,2428,2392,2426,573200,2426,,,2413
2019/2/14,2406,2421,2398,2411,490800,2411,,,2409
2019/2/13,2435,2448,2413,2418,610200,2418,,,2428.5
2019/2/12,2384,2428,2381,2419,711500,2419,,,2403
2019/2/8,2410,2427,2379,2379,854600,2379,,,2398.75
2019/2/7,2426,2435,2402,2422,462200,2422,,,2421.25
2019/2/6,2472,2472,2443,2445,450800,2445,,,2458
2019/2/5,2458,2476,2456,2458,396300,2458,,,2462
2019/2/4,2466,2486,2445,2453,461300,2453,,,2462.5
2019/2/1,2441,2466,2434,2447,416000,2447,,,2447
2019/1/31,2468,2480,2443,2445,680200,2445,,,2459
2019/1/30,2441,2447,2422,2427,630900,2427,,,2434.25
2019/1/29,2425,2444,2416,2438,692300,2438,,,2430.75
2019/1/28,2430,2434,2404,2410,426100,2410,,,2419.5
2019/1/25,2455,2470,2437,2438,552200,2438,,,2450
2019/1/24,2480,2480,2445,2456,565100,2456,,,2465.25
2019/1/23,2514,2524,2486,2487,584700,2487,,,2502.75
2019/1/22,2500,2524,2495,2524,481100,2524,,,2510.75
2019/1/21,2534,2535,2488,2490,626600,2490,,,2511.75
2019/1/18,2495,2530,2495,2523,524900,2523,,,2510.75
,,,,,,,,,eraseme
日付,始値,高値,安値,終値,出来高,調整後終値*,,,eraseme
2019/1/17,2500,2511,2487,2494,611800,2494,,,2498
2019/1/16,2515,2523,2502,2512,592700,2512,,,2513
2019/1/15,2503,2543,2495,2521,522900,2521,,,2515.5
2019/1/11,2535,2540,2514,2530,942500,2530,,,2529.75
2019/1/10,2490,2524,2476,2519,618200,2519,,,2502.25
2019/1/9,2489,2506,2468,2498,648700,2498,,,2490.25
2019/1/8,2527,2537,2477,2481,843700,2481,,,2505.5
2019/1/7,2500,2540,2496,2509,907900,2509,,,2511.25
2019/1/4,2370,2446,2360,2445,972600,2445,,,2405.25
